基本時間割,月,月,月,月,月,月,火,火,火,火,火,火,水,水,水,水,水,水,木,木,木,木,木,木,金,金,金,金,金,金
,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
1年1組,,英,数,国,理,YT,英,数,理,音,家,技,数,英,社,保,理,国,数,国,英,道,保,YT,英,美,技,理,社,国
1年2組,数,国,理,保,音,YT,数,国,保,英,社,理,国,技,数,英,保,理,理,英,家,道,数,YT,技,理,美,国,英,社
1年3組,理,家,英,数,国,YT,理,社,国,保,数,英,理,社,音,数,英,技,英,保,社,道,国,YT,国,社,理,美,家,英
1年5組,日生,理,国,家,英,YT,国,音,生単,数,理,保,生単,国,作業,美,理,英,理,作業,数,道,国,保,生単,理,国,技,英,美
1年6組,技,自立,数,国,理,YT,英,数,理,音,家,技,数,英,社,保,理,国,数,国,英,道,保,YT,自立,美,技,理,社,国
1年7組,数,国,理,保,音,YT,数,国,保,英,社,理,国,技,数,英,保,理,理,英,家,道,数,YT,技,理,美,国,英,社
2年1組,理,社,英,数,保,YT,保,理,英,国,社,家,社,英,理,技,国,数,国,社,美,道,英,数,社,保,音,家,国,理
2年2組,数,国,社,理,英,YT,理,数,社,英,保,国,理,国,数,英,音,家,美,理,保,道,国,社,理,家,社,保,英,技
2年3組,英,理,家,社,国,YT,英,国,数,社,理,音,音,保,技,理,数,社,保,美,国,道,理,英,保,技,家,社,理,英
2年5組,日生,理,国,家,英,YT,国,音,生単,数,理,保,生単,国,作業,美,理,英,理,作業,数,道,国,保,生単,理,国,技,英,美
2年6組,英,理,家,社,国,YT,自立,国,数,社,理,音,音,保,技,理,自立,社,保,美,国,道,理,英,保,技,家,社,理,英
2年7組,数,国,社,理,自立,YT,理,数,社,英,保,国,理,国,数,英,音,家,美,理,保,道,国,社,理,家,社,保,英,技
,保,理,国,英,数,YT,英,技家,学総,学総,数,理,英,数,保,美,国,音,国,数,道,学総,英,学総,理,英,国,学総,保,数
3年1組,英,数,保,理,技家,YT,数,理,学総,学総,国,社,国,音,美,数,英,保,数,英,道,学総,理,学総,国,理,英,学総,数,保
3年2組,国,音,英,数,理,YT,社,保,学総,学総,理,数,保,美,数,英,技家,国,理,国,英,学総,道,学総,英,国,保,学総,社,理
3年3組,日生,理,国,家,英,YT,国,音,生単,数,理,保,生単,国,作業,美,理,英,理,作業,数,道,国,保,生単,理,国,技,英,美
3年5組,国,音,英,自立,理,YT,社,保,学総,学総,理,数,保,美,数,自立,技家,国,理,国,英,学総,道,学総,英,国,保,学総,社,理
3年6組,英,数,保,理,技家,YT,数,理,学総,学総,国,社,国,音,美,数,英,保,数,英,道,学総,理,学総,国,理,自立,学総,数,保
